test,approach,tfft,totaltime,comp
30-0.02-8c,8c-1f,0.07,202.8,462
30-0.02-8c,8c-2f,0.04,113.19,462
30-0.02-8c,8c-4f,0.02,49.92,462
30-0.02-8c,8c-8f,0.02,27.03,462
30-0.02-8c,8c-16f,0.02,19.74,462
