test,approach,tfft,totaltime,mrt,comp
30-0.02-1c,1c-2000f,3.72,27.14,13485620240,462
30-0.02-1c,1c-2000f,10.98,27.37,14074184435,462
30-0.02-1c,1c-2000f,2.77,28.39,14533451168,462
30-0.02-1c,1c-2000f,3.23,27.31,14179531413,462
30-0.02-1c,1c-2000f,2.78,27.4,13903835477,462
30-0.02-1c,1c-2000f,3.18,27.77,14565123699,462
30-0.02-1c,1c-2000f,2.51,28.59,14393138823,462
30-0.02-1c,1c-2000f,2.97,27.14,14024911901,462
30-0.02-1c,1c-2000f,10.47,28.15,14374690499,462
30-0.02-1c,1c-2000f,3.01,27.75,14307899884,462
