test,approach,tfft,totaltime,mrt,checks,alerts
60-0.02-1c,1c-1f,93550578,408.02,24927996843,78744,1792
60-0.02-1c,1c-2f,49353630,223.92,13511977092,78744,1792
60-0.02-1c,1c-5f,125633473,74.06,7368552195,78744,1792
60-0.02-1c,1c-10f,52800404,55.32,7284299001,78744,1792
60-0.02-1c,1c-20f,65838163,43.27,14455334662,78744,1792
60-0.02-1c,1c-40f,65246078,39.02,18714268114,78744,1792
60-0.02-1c,1c-100f,87892975,38.38,18589382525,78744,1792
60-0.02-1c,1c-200f,116858780,39.18,18899583440,78744,1792
60-0.02-1c,1c-500f,170694324,42.4,20606776084,78744,1792
60-0.02-1c,1c-1000f,171534607,46.24,22456057358,78744,1792
60-0.02-1c,1c-2000f,193876650,54.76,27058833676,78744,1792
