test,approach,tfft,totaltime,mrt,comp
30-0.02-2c,2c-1f,27297918.9,202.2,24554400600,37959
30-0.02-2c,2c-2f,23925601.0,112.48,13351036640,37959
30-0.02-2c,2c-5f,19920529.7,39.79,7246873094,37959
30-0.02-2c,2c-10f,19604364.1,24.99,8040091446,37959
30-0.02-2c,2c-20f,29256176.9,20.4,9025820485,37959
30-0.02-2c,2c-40f,35833629.0,18.43,8459176315,37959
30-0.02-2c,2c-100f,17923635.2,17.41,8248385077,37959
30-0.02-2c,2c-200f,29223929.6,17.88,8516763914,37959
30-0.02-2c,2c-500f,39920261.2,18.29,8846184821,37959
30-0.02-2c,2c-1000f,33016850.5,19.5,9544075461,37959
30-0.02-2c,2c-2000f,45179333.8,21.9,11372126397,37959
