test,approach,answer,time
30-0.02-1c,1c-1f,152,230.13
30-0.02-1c,1c-1f,153,230.74
30-0.02-1c,1c-1f,154,231.02
30-0.02-1c,1c-1f,155,234.42
30-0.02-1c,1c-1f,156,237.53
30-0.02-1c,1c-1f,157,238.44
30-0.02-1c,1c-1f,158,238.94
30-0.02-1c,1c-1f,159,239.42
30-0.02-1c,1c-1f,160,242.46
30-0.02-1c,1c-1f,161,244.96
30-0.02-1c,1c-1f,162,246.1
30-0.02-1c,1c-1f,163,246.85
30-0.02-1c,1c-1f,164,248.09
30-0.02-1c,1c-1f,165,249.14
30-0.02-1c,1c-1f,166,249.82
30-0.02-1c,1c-1f,167,249.88
30-0.02-1c,1c-1f,168,250.96
30-0.02-1c,1c-1f,169,250.97
30-0.02-1c,1c-1f,170,251.46
30-0.02-1c,1c-1f,171,251.5
30-0.02-1c,1c-1f,172,253.08
30-0.02-1c,1c-1f,173,254.08
30-0.02-1c,1c-1f,174,254.53
30-0.02-1c,1c-1f,175,256.27
30-0.02-1c,1c-1f,176,256.86
30-0.02-1c,1c-1f,177,257.71
30-0.02-1c,1c-1f,178,259.94
30-0.02-1c,1c-1f,179,261.74
30-0.02-1c,1c-1f,180,263.41
30-0.02-1c,1c-1f,181,265.54
30-0.02-1c,1c-1f,182,266.06
30-0.02-1c,1c-1f,183,268.4
30-0.02-1c,1c-1f,184,269.38
30-0.02-1c,1c-1f,185,270.44
30-0.02-1c,1c-1f,186,271.18
30-0.02-1c,1c-1f,187,271.64
30-0.02-1c,1c-1f,188,272.34
30-0.02-1c,1c-1f,189,272.66
30-0.02-1c,1c-1f,190,273.71
30-0.02-1c,1c-1f,191,274.5
30-0.02-1c,1c-1f,192,274.68
30-0.02-1c,1c-1f,193,276.07
30-0.02-1c,1c-1f,194,277.85
30-0.02-1c,1c-1f,195,278.66
30-0.02-1c,1c-1f,196,280.62
30-0.02-1c,1c-1f,197,281.16
30-0.02-1c,1c-1f,198,281.26
30-0.02-1c,1c-1f,199,281.34
30-0.02-1c,1c-1f,200,281.92
30-0.02-1c,1c-1f,201,282.36
30-0.02-1c,1c-1f,202,282.9
30-0.02-1c,1c-1f,203,283.12
30-0.02-1c,1c-1f,204,283.41
30-0.02-1c,1c-1f,205,283.96
30-0.02-1c,1c-1f,206,284.4
30-0.02-1c,1c-1f,207,285.96
30-0.02-1c,1c-1f,208,296.76
30-0.02-1c,1c-1f,209,297.88
30-0.02-1c,1c-1f,210,300.11
30-0.02-1c,1c-1f,211,300.25
30-0.02-1c,1c-1f,212,300.93
30-0.02-1c,1c-1f,213,302.83
30-0.02-1c,1c-1f,214,307.7
30-0.02-1c,1c-1f,215,307.87
30-0.02-1c,1c-1f,216,310.18
30-0.02-1c,1c-1f,217,311.94
30-0.02-1c,1c-1f,218,312.57
30-0.02-1c,1c-1f,219,312.84
30-0.02-1c,1c-1f,220,313.71
30-0.02-1c,1c-1f,221,318.2
30-0.02-1c,1c-1f,222,318.86
30-0.02-1c,1c-1f,223,319.15
30-0.02-1c,1c-1f,224,319.9
30-0.02-1c,1c-1f,225,319.93
30-0.02-1c,1c-1f,226,319.96
30-0.02-1c,1c-1f,227,320.39
30-0.02-1c,1c-1f,228,322.81
30-0.02-1c,1c-1f,229,323.46
30-0.02-1c,1c-1f,230,326.05
30-0.02-1c,1c-1f,231,326.22
30-0.02-1c,1c-1f,232,326.8
30-0.02-1c,1c-1f,233,328.92
30-0.02-1c,1c-1f,234,329.5
30-0.02-1c,1c-1f,235,332.2
30-0.02-1c,1c-1f,236,332.56
30-0.02-1c,1c-1f,237,333.72
30-0.02-1c,1c-1f,238,335.46
30-0.02-1c,1c-1f,239,336.32
30-0.02-1c,1c-1f,240,336.62
30-0.02-1c,1c-1f,241,336.86
30-0.02-1c,1c-1f,242,336.91
30-0.02-1c,1c-1f,243,337.41
30-0.02-1c,1c-1f,244,338.0
30-0.02-1c,1c-1f,245,338.46
30-0.02-1c,1c-1f,246,338.78
30-0.02-1c,1c-1f,247,341.25
30-0.02-1c,1c-1f,248,341.28
30-0.02-1c,1c-1f,249,341.54
30-0.02-1c,1c-1f,250,342.86
30-0.02-1c,1c-1f,251,343.16
30-0.02-1c,1c-1f,252,343.54
30-0.02-1c,1c-1f,253,343.78
30-0.02-1c,1c-1f,254,346.04
30-0.02-1c,1c-1f,255,348.55
30-0.02-1c,1c-1f,256,349.24
30-0.02-1c,1c-1f,257,349.33
30-0.02-1c,1c-1f,258,349.38
30-0.02-1c,1c-1f,259,349.49
30-0.02-1c,1c-1f,260,350.59
30-0.02-1c,1c-1f,261,350.6
30-0.02-1c,1c-1f,262,351.07
30-0.02-1c,1c-1f,263,352.96
30-0.02-1c,1c-1f,264,353.54
30-0.02-1c,1c-1f,265,356.5
30-0.02-1c,1c-1f,266,358.44
30-0.02-1c,1c-1f,267,358.91
30-0.02-1c,1c-1f,268,359.3
30-0.02-1c,1c-1f,269,360.66
30-0.02-1c,1c-1f,270,361.67
30-0.02-1c,1c-1f,271,363.88
30-0.02-1c,1c-1f,272,365.52
30-0.02-1c,1c-1f,273,368.54
30-0.02-1c,1c-1f,274,368.91
30-0.02-1c,1c-1f,275,368.92
30-0.02-1c,1c-1f,276,369.8
30-0.02-1c,1c-1f,277,370.6
30-0.02-1c,1c-1f,278,373.25
30-0.02-1c,1c-1f,279,373.67
30-0.02-1c,1c-1f,280,377.34
30-0.02-1c,1c-1f,281,377.78
30-0.02-1c,1c-1f,282,378.68
30-0.02-1c,1c-1f,283,379.16
30-0.02-1c,1c-1f,284,379.22
30-0.02-1c,1c-1f,285,381.22
30-0.02-1c,1c-1f,286,383.71
30-0.02-1c,1c-1f,287,384.11
30-0.02-1c,1c-1f,288,387.3
30-0.02-1c,1c-1f,289,387.81
30-0.02-1c,1c-1f,290,389.72
30-0.02-1c,1c-1f,291,390.3
30-0.02-1c,1c-1f,292,392.41
30-0.02-1c,1c-1f,293,392.73
30-0.02-1c,1c-1f,294,393.08
30-0.02-1c,1c-1f,295,393.47
30-0.02-1c,1c-1f,296,393.52
30-0.02-1c,1c-1f,297,394.84
30-0.02-1c,1c-1f,298,397.46
30-0.02-1c,1c-1f,299,400.06
30-0.02-1c,1c-1f,300,400.08
30-0.02-1c,1c-1f,301,400.5
30-0.02-1c,1c-1f,302,404.14
30-0.02-1c,1c-1f,303,404.72
30-0.02-1c,1c-1f,304,404.93
30-0.02-1c,1c-1f,305,406.71
30-0.02-1c,1c-1f,306,413.58
30-0.02-1c,1c-1f,307,416.16
30-0.02-1c,1c-1f,308,416.2
30-0.02-1c,1c-1f,309,416.88
30-0.02-1c,1c-1f,310,417.21
30-0.02-1c,1c-1f,311,417.56
30-0.02-1c,1c-1f,312,419.21
30-0.02-1c,1c-1f,313,419.84
30-0.02-1c,1c-1f,314,420.1
30-0.02-1c,1c-1f,315,420.86
30-0.02-1c,1c-1f,316,421.22
30-0.02-1c,1c-1f,317,421.46
30-0.02-1c,1c-1f,318,425.04
30-0.02-1c,1c-1f,319,428.84
30-0.02-1c,1c-1f,320,431.08
30-0.02-1c,1c-1f,321,432.62
30-0.02-1c,1c-1f,322,434.06
30-0.02-1c,1c-1f,323,435.04
30-0.02-1c,1c-1f,324,437.08
30-0.02-1c,1c-1f,325,438.79
30-0.02-1c,1c-1f,326,441.24
30-0.02-1c,1c-1f,327,442.46
30-0.02-1c,1c-1f,328,442.69
30-0.02-1c,1c-1f,329,443.21
