test,approach,tfft,totaltime,mrt,comp
30-0.02-2c,2c-2000f,5.02,21.57,11847751913,462
30-0.02-2c,2c-2000f,0.82,21.36,11803419320,462
30-0.02-2c,2c-2000f,1.52,22.13,12202998232,462
30-0.02-2c,2c-2000f,5.18,22.18,12145507538,462
30-0.02-2c,2c-2000f,1.85,21.35,11591089021,462
30-0.02-2c,2c-2000f,1.3,20.89,11649516448,462
30-0.02-2c,2c-2000f,0.36,21.68,12564599831,462
30-0.02-2c,2c-2000f,1.03,21.85,11733810779,462
30-0.02-2c,2c-2000f,1.3,22.22,12135958547,462
30-0.02-2c,2c-2000f,0.57,21.56,12223818959,462
