test,approach,tfft,totaltime,mrt,comp
30-0.02-16c,16c-200f,0.02,16.12,8398586157,462
30-0.02-16c,16c-200f,0.03,16.16,8394872081,462
30-0.02-16c,16c-200f,0.03,16.12,8383451783,462
30-0.02-16c,16c-200f,0.02,16.42,8495015216,462
30-0.02-16c,16c-200f,0.02,17.04,8870171728,462
30-0.02-16c,16c-200f,0.02,16.8,8710011281,462
30-0.02-16c,16c-200f,0.02,16.91,8614463562,462
30-0.02-16c,16c-200f,0.02,16.91,8696432899,462
30-0.02-16c,16c-200f,0.03,16.24,8359756798,462
30-0.02-16c,16c-200f,0.02,16.48,8421006514,462
