test,approach,tfft,totaltime,comp
30-0.02-1c,1c-5f,0.15,42.44,462
30-0.02-1c,1c-5f,0.15,42.27,462
30-0.02-1c,1c-5f,0.14,43.36,462
30-0.02-1c,1c-5f,0.14,42.34,462
30-0.02-1c,1c-5f,0.17,42.98,462
30-0.02-1c,1c-5f,0.15,42.93,462
30-0.02-1c,1c-5f,0.15,41.92,462
30-0.02-1c,1c-5f,0.14,42.68,462
30-0.02-1c,1c-5f,0.14,43.19,462
30-0.02-1c,1c-5f,0.15,42.40,462
