test,approach,tfft,totaltime,comp
30-0.02-1c,1c-200f,0.79,18.53,462
30-0.02-1c,1c-200f,0.79,18.64,462
30-0.02-1c,1c-200f,0.85,19.22,462
30-0.02-1c,1c-200f,0.80,19.72,462
30-0.02-1c,1c-200f,0.67,18.75,462
30-0.02-1c,1c-200f,0.76,18.58,462
30-0.02-1c,1c-200f,0.73,18.57,462
30-0.02-1c,1c-200f,0.76,18.70,462
30-0.02-1c,1c-200f,0.74,19.40,462
30-0.02-1c,1c-200f,0.69,18.99,462
