test,approach,tfft,totaltime,mrt,comp
30-0.02-16c,16c-2f,0.04,116.34,15390749373,462
30-0.02-16c,16c-2f,0.05,118.01,15588903419,462
30-0.02-16c,16c-2f,0.04,118.91,15837221353,462
30-0.02-16c,16c-2f,0.04,114.51,15201222443,462
30-0.02-16c,16c-2f,0.05,118.38,15757327103,462
30-0.02-16c,16c-2f,0.04,113.48,15121647392,462
30-0.02-16c,16c-2f,0.05,117.87,15605079836,462
30-0.02-16c,16c-2f,0.04,118.47,15773356925,462
30-0.02-16c,16c-2f,0.05,122.48,16214765395,462
30-0.02-16c,16c-2f,0.05,123.28,16335055787,462
