test,approach,tfft,totaltime,comp
30-0.02-16c,16c-1f,0.05,197.47,462
30-0.02-16c,16c-2f,0.05,113.59,462
30-0.02-16c,16c-4f,0.02,49.06,462
30-0.02-16c,16c-8f,0.02,26.34,462
30-0.02-16c,16c-16f,0.02,19.5,462
