test,approach,tfft,totaltime,mrt,comp
30-0.02-2c,2c-1000f,0.39,18.93,10154757014,462
30-0.02-2c,2c-1000f,0.96,19.75,10479432368,462
30-0.02-2c,2c-1000f,0.95,18.92,10163805914,462
30-0.02-2c,2c-1000f,0.44,19.07,10602245284,462
30-0.02-2c,2c-1000f,0.83,19.63,10264525934,462
30-0.02-2c,2c-1000f,0.53,19.78,10544256144,462
30-0.02-2c,2c-1000f,0.3,19.36,10577342256,462
30-0.02-2c,2c-1000f,0.37,19.31,10074857614,462
30-0.02-2c,2c-1000f,0.76,19.2,10198667125,462
30-0.02-2c,2c-1000f,0.77,19.22,10018694240,462
