test,approach,tfft,totaltime,comp
30-0.02-1c,1c-1f,0.03,21.38,462
30-0.02-1c,1c-2f,0.02,14.24,462
30-0.02-1c,1c-4f,0.02,10.93,462
30-0.02-1c,1c-8f,0.02,8.75,462
30-0.02-1c,1c-16f,0.01,8.32,462
