test,approach,tfft,totaltime,mrt,comp
30-0.02-8c,8c-1f,0.07,206.88,24249539626,462
30-0.02-8c,8c-2f,0.05,119.97,15955604639,462
30-0.02-8c,8c-5f,0.02,41.85,8815502736,462
30-0.02-8c,8c-10f,0.02,24.76,8813330235,462
30-0.02-8c,8c-20f,0.02,19.17,9197865380,462
30-0.02-8c,8c-40f,0.02,17.4,8636838737,462
30-0.02-8c,8c-100f,0.03,16.87,8580965838,462
30-0.02-8c,8c-200f,0.04,16.44,8522504592,462
30-0.02-8c,8c-500f,0.06,16.53,8794310271,462
30-0.02-8c,8c-1000f,0.09,16.62,9148653657,462
30-0.02-8c,8c-2000f,0.15,16.79,9446050877,462
