test,approach,tfft,totaltime,mrt,comp
30-0.02-1c,1c-1f,3.49,637.84,7679686,462
30-0.02-4c,4c-1f,3.48,641.45,7571710,462
30-0.02-16c,16c-1f,3.6,641.07,7643668,462
