test,approach,tfft,totaltime,mrt,comp
30-0.02-1c,1c-1000f,2.34,22.42,10806138352,462
30-0.02-1c,1c-1000f,2.12,22.15,10511295689,462
30-0.02-1c,1c-1000f,1.66,22.63,11016954924,462
30-0.02-1c,1c-1000f,1.7,22.28,11060941595,462
30-0.02-1c,1c-1000f,2.15,22.42,10803275789,462
30-0.02-1c,1c-1000f,2.15,22.64,10763060908,462
30-0.02-1c,1c-1000f,2.49,22.3,10327129738,462
30-0.02-1c,1c-1000f,2.16,22.64,10945377278,462
30-0.02-1c,1c-1000f,2.09,22.21,10890304950,462
30-0.02-1c,1c-1000f,1.89,22.94,10864011843,462
