test,approach,tfft,totaltime,mrt,comp
30-0.02-1c,1c-1f,0.14,200.34,23490286540,462
30-0.02-1c,1c-2f,0.13,113.76,15119496934,462
30-0.02-1c,1c-5f,0.16,37.21,7924836843,462
30-0.02-1c,1c-10f,0.17,27.79,8511091344,462
30-0.02-1c,1c-20f,0.21,20.62,10027029473,462
30-0.02-1c,1c-40f,0.29,18.46,9364164103,462
30-0.02-1c,1c-100f,0.5,18.12,9354786627,462
30-0.02-1c,1c-200f,0.75,18.88,8023116156,462
30-0.02-1c,1c-500f,1.23,20.3,9383981989,462
30-0.02-1c,1c-1000f,2.08,22.46,10798849106,462
30-0.02-1c,1c-2000f,4.56,27.7,14184238753,462
