test,approach,tfft,totaltime,mrt,comp
30-0.02-4c,4c-2000f,0.23,18.53,10966233652,462
30-0.02-4c,4c-2000f,0.11,18.92,10882747073,462
30-0.02-4c,4c-2000f,0.27,18.38,10721242090,462
30-0.02-4c,4c-2000f,0.25,19.35,11097458764,462
30-0.02-4c,4c-2000f,0.17,18.56,11016301711,462
30-0.02-4c,4c-2000f,0.07,18.61,10658521150,462
30-0.02-4c,4c-2000f,0.13,19.43,11767994423,462
30-0.02-4c,4c-2000f,0.22,18.66,10991670395,462
30-0.02-4c,4c-2000f,0.3,18.91,10990890223,462
30-0.02-4c,4c-2000f,0.24,18.47,10865556078,462
