test,approach,tfft,totaltime,mrt,comp
30-0.02-16c,16c-500f,0.06,17.46,9390947384,462
30-0.02-16c,16c-500f,0.04,16.62,8908695629,462
30-0.02-16c,16c-500f,0.03,16.33,8650077906,462
30-0.02-16c,16c-500f,0.06,16.4,8514545565,462
30-0.02-16c,16c-500f,0.04,16.21,8440619015,462
30-0.02-16c,16c-500f,0.03,16.4,8725792991,462
30-0.02-16c,16c-500f,0.03,16.34,8704527303,462
30-0.02-16c,16c-500f,0.05,16.24,8695264851,462
30-0.02-16c,16c-500f,0.04,16.07,8507012589,462
30-0.02-16c,16c-500f,0.03,16.75,8854852862,462
