test,approach,tfft,totaltime,comp
30-0.02-2c,2c-200f,0.27,18.29,462
30-0.02-2c,2c-200f,0.19,18.67,462
30-0.02-2c,2c-200f,0.46,18.24,462
30-0.02-2c,2c-200f,0.39,18.32,462
30-0.02-2c,2c-200f,0.32,18.33,462
30-0.02-2c,2c-200f,0.16,18.43,462
30-0.02-2c,2c-200f,0.41,18.10,462
30-0.02-2c,2c-200f,0.34,18.10,462
30-0.02-2c,2c-200f,0.35,19.12,462
30-0.02-2c,2c-200f,0.28,18.20,462
