test,approach,tfft,totaltime,mrt,comp
30-0.02-1c,1c-2000f,3.5,635.76,7846648,462
30-0.02-4c,4c-2000f,3.49,638.4,6449489,462
30-0.02-16c,16c-2000f,3.47,637.71,6523344,462
