test,approach,tfft,totaltime,mrt,checks,alerts
60-0.02-16c,16c-0f,330495701,441.92,13679736470,78744,1792
60-0.02-16c,16c-1f,39150886,421.38,25742577516,78744,1792
60-0.02-16c,16c-2f,10641812,228.79,13819143953,78744,1792
60-0.02-16c,16c-5f,10689277,75.86,7378393441,78744,1792
60-0.02-16c,16c-10f,10914542,48.85,8588025814,78744,1792
60-0.02-16c,16c-20f,11027400,39.92,14104877089,78744,1792
60-0.02-16c,16c-40f,11818183,35.77,16772789541,78744,1792
60-0.02-16c,16c-100f,13246853,34.88,16440556327,78744,1792
60-0.02-16c,16c-200f,12262290,34.7,16457306191,78744,1792
60-0.02-16c,16c-500f,13547545,34.62,16371541390,78744,1792
60-0.02-16c,16c-1000f,15293014,34.1,16051590852,78744,1792
60-0.02-16c,16c-2000f,15691177,34.61,16351035214,78744,1792
