test,approach,tfft,totaltime,mrt,comp
30-0.02-1c,1c-1f,3.49,637.84,7679686,462
30-0.02-1c,1c-40f,3.47,638.15,6105514,462
30-0.02-1c,1c-2000f,3.5,635.76,7846648,462
