test,approach,tfft,totaltime,mrt,comp
30-0.02-16c,16c-2000f,0.14,16.49,9036728650,462
30-0.02-16c,16c-2000f,0.14,16.58,9195504579,462
30-0.02-16c,16c-2000f,0.14,16.33,9056222098,462
30-0.02-16c,16c-2000f,0.11,16.51,9246013512,462
30-0.02-16c,16c-2000f,0.16,16.1,8986754553,462
30-0.02-16c,16c-2000f,0.1,16.23,8922076371,462
30-0.02-16c,16c-2000f,0.14,16.77,9364886620,462
30-0.02-16c,16c-2000f,0.14,17.17,9602249917,462
30-0.02-16c,16c-2000f,0.15,17.34,9670964298,462
30-0.02-16c,16c-2000f,0.12,17.53,9682734773,462
