test,approach,tfft,totaltime,mrt,comp
30-0.02-16c,16c-100f,0.02,17.67,8962420478,462
30-0.02-16c,16c-100f,0.02,17.22,8686278315,462
30-0.02-16c,16c-100f,0.02,17.32,8742707701,462
30-0.02-16c,16c-100f,0.03,16.55,8367925949,462
30-0.02-16c,16c-100f,0.04,17.11,8664156788,462
30-0.02-16c,16c-100f,0.02,16.59,8270096687,462
30-0.02-16c,16c-100f,0.02,16.34,8351930311,462
30-0.02-16c,16c-100f,0.02,16.58,8382091409,462
30-0.02-16c,16c-100f,0.02,17.08,8667680441,462
30-0.02-16c,16c-100f,0.02,16.61,8399270624,462
