test,approach,tfft,totaltime,comp
30-0.02-8c,8c-10f,0.03,24.87,462
30-0.02-8c,8c-10f,0.03,24.67,462
30-0.02-8c,8c-10f,0.04,24.97,462
30-0.02-8c,8c-10f,0.03,25.05,462
30-0.02-8c,8c-10f,0.04,24.88,462
30-0.02-8c,8c-10f,0.04,24.58,462
30-0.02-8c,8c-10f,0.04,24.93,462
30-0.02-8c,8c-10f,0.02,24.81,462
30-0.02-8c,8c-10f,0.04,25.09,462
30-0.02-8c,8c-10f,0.03,24.71,462
