test,approach,tfft,totaltime,comp
30-0.02-4c,4c-1f,0.05,204.47,462
30-0.02-4c,4c-2f,0.04,113.57,462
30-0.02-4c,4c-4f,0.02,49.13,462
30-0.02-4c,4c-8f,0.02,26.74,462
30-0.02-4c,4c-16f,0.02,19.51,462
