test,approach,tfft,totaltime,comp
30-0.02-4c,4c-1f,0.01,18.31,462
30-0.02-4c,4c-2f,0.01,12.86,462
30-0.02-4c,4c-4f,0.01,10.74,462
30-0.02-4c,4c-8f,0.02,8.56,462
30-0.02-4c,4c-16f,0.01,7.44,462
