test,approach,tfft,totaltime,mrt,checks,alerts
15-0.03-8c,8c-0f,402719444,25088.9,13819630440,4356839,50655
15-0.03-8c,8c-1f,962172065,24655.6,27146101849,4356839,50655
15-0.03-8c,8c-5f,1008773480,8822.07,11958448972,4356839,50655
15-0.03-8c,8c-10f,1016353413,4169.37,9867710029,4356839,50655
15-0.03-8c,8c-100f,1205553949,2004.3,23417505289,4356839,50655
15-0.03-8c,8c-250f,811078464,1941.14,69267478015,4356839,50655
15-0.03-8c,8c-500f,809244919,1947.59,136437799943,4356839,50655
15-0.03-8c,8c-1000f,824797666,1936.92,256590885280,4356839,50655
15-0.03-8c,8c-2000f,932710514,1989.86,562012812157,4356839,50655
15-0.03-8c,8c-5000f,1044520691,2233.29,1124977240481,4356839,50655
15-0.03-8c,8c-10000f,1385907141,2565.91,1410313048443,4356839,50655
