test,approach,tfft,totaltime,comp
30-0.02-1c,1c-1f,0.01,18.32,462
30-0.02-1c,1c-2f,0.01,13.52,462
30-0.02-1c,1c-4f,0.01,12.23,462
30-0.02-1c,1c-8f,0.01,9.29,462
30-0.02-1c,1c-16f,0.01,7.58,462
